['156', ['peripheral neuropathy']]
['236', ['anaphylaxis']]
['252', ['infusion reactions']]
['329', ['hematologic toxicities']]
['410', ['serious']]
['418', ['infections']]
['433', ['opportunistic infections']]
['516', ['tumor lysis syndrome']]
['595', ['increased toxicity']]
['715', ['increased toxicity']]
['849', ['hepatotoxicity']]
['922', ['progressive multifocal leukoencephalopathy']]
['1023', ['pulmonary toxicity']]
['1089', ['serious']]
['1097', ['dermatologic reactions']]
['1280', ['neutropenia']]
['1293', ['peripheral sensory neuropathy']]
['1324', ['fatigue']]
['1333', ['nausea']]
['1341', ['anemia']]
['1349', ['upper respiratory tract infection']]
['1384', ['diarrhea']]
['1394', ['pyrexia']]
['1403', ['rash']]
['1409', ['thrombocytopenia']]
['1427', ['cough']]
['1438', ['vomiting']]
['1505', ['neutropenia']]
['1518', ['peripheral sensory neuropathy']]
['1549', ['thrombocytopenia']]
['1567', ['anemia']]
['1575', ['upper respiratory tract infection']]
['1610', ['fatigue']]
['1619', ['peripheral motor neuropathy']]
['1648', ['nausea']]
['1656', ['cough']]
['1667', ['diarrhea']]
['2550', ['neutropenia']]
['2563', ['peripheral sensory neuropathy']]
['2594', ['fatigue']]
['2603', ['nausea']]
['2611', ['anemia']]
['2619', ['upper respiratory tract infection']]
['2654', ['diarrhea']]
['2664', ['pyrexia']]
['2673', ['rash']]
['2679', ['thrombocytopenia']]
['2697', ['cough']]
['2708', ['vomiting']]
['3042', ['neutropenia']]
['3055', ['peripheral sensory neuropathy']]
['3086', ['thrombocytopenia']]
['3104', ['anemia']]
['3112', ['upper respiratory tract infection']]
['3147', ['fatigue']]
['3156', ['peripheral motor neuropathy']]
['3185', ['nausea']]
['3193', ['cough']]
['3204', ['diarrhea']]
['3845', ['neutropenia']]
['3858', ['peripheral sensory neuropathy']]
['3889', ['fatigue']]
['3898', ['upper respiratory tract infection']]
['3933', ['nausea']]
['3941', ['diarrhea']]
['3951', ['anemia']]
['3959', ['pyrexia']]
['3968', ['thrombocytopenia']]
['3986', ['rash']]
['3992', ['abdominal pain']]
['4008', ['cough']]
['4019', ['vomiting']]
['5714', ['neutropenia']]
['5727', ['anemia']]
['5735', ['peripheral sensory neuropathy']]
['5766', ['fatigue']]
['5775', ['nausea']]
['5783', ['pyrexia']]
['5792', ['rash']]
['5798', ['diarrhea']]
['5812', ['pain']]
['6321', ['neutropenia']]
['6438', ['anemia']]
['6555', ['thrombocytopenia']]
['6672', ['lymphadenopathy']]
['6906', ['peripheral sensory neuropathy']]
['7023', ['peripheral motor neuropathy']]
['7140', ['headache']]
['7257', ['dizziness']]
['7501', ['fatigue']]
['7618', ['pyrexia']]
['7735', ['chills']]
['7852', ['pain']]
['7969', ['edema peripheral']]
['8203', ['upper respiratory tract infection']]
['8437', ['nausea']]
['8554', ['diarrhea']]
['8671', ['abdominal pain']]
['8788', ['vomiting']]
['8905', ['constipation']]
['9139', ['rash']]
['9256', ['pruritus']]
['9373', ['alopecia']]
['9490', ['night sweats']]
['9607', ['dry skin']]
['9846', ['cough']]
['9963', ['dyspnea']]
['10080', ['oropharyngeal pain']]
['10319', ['arthralgia']]
['10436', ['myalgia']]
['10553', ['back pain']]
['10670', ['pain in extremity']]
['10787', ['muscle spasms']]
['11021', ['insomnia']]
['11138', ['anxiety']]
['11372', ['decreased appetite']]
['11606', ['weight decreased']]
['12232', ['neutropenia']]
['12349', ['thrombocytopenia']]
['12466', ['anemia']]
['12700', ['peripheral sensory neuropathy']]
['12817', ['peripheral motor neuropathy']]
['12934', ['headache']]
['13168', ['upper respiratory tract infection']]
['13412', ['fatigue']]
['13529', ['pyrexia']]
['13646', ['chills']]
['13880', ['nausea']]
['13997', ['diarrhea']]
['14114', ['vomiting']]
['14231', ['abdominal pain']]
['14348', ['constipation']]
['14587', ['cough']]
['14704', ['dyspnea']]
['14938', ['weight decreased']]
['15177', ['arthralgia']]
['15294', ['muscle spasms']]
['15411', ['myalgia']]
['15645', ['pruritus']]
['15879', ['decreased appetite']]
['16135', ['neuropathy']]
['16281', ['neuropathy']]
['16301', ['residual neuropathy']]
['16438', ['neuropathy']]
['16819', ['neuropathy']]
['16871', ['residual neuropathy']]
['17019', ['anaphylaxis']]
['17084', ['no']]
['17087', ['grade 3']]
['17087,17098', ['grade 4']]
['17100', ['infusion-related reactions']]
['17165', ['grade 1']]
['17165,17176', ['grade 2']]
['17178', ['infusion-related reactions']]
['17319', ['infusion-related reactions']]
['17351', ['chills']]
['17364', ['nausea']]
['17377', ['dyspnea']]
['17391', ['pruritus']]
['17406', ['pyrexia']]
['17424', ['cough']]
['17452', ['infusion-related reactions']]
['17673', ['infusion-related reactions']]
['17701', ['no']]
['17704', ['grade 4']]
['17712', ['infusion-related reactions']]
['17811', ['infusion-related reactions']]
['17843', ['nausea']]
['17856', ['chills']]
['17869', ['dyspnea']]
['17883', ['headache']]
['17898', ['pruritus']]
['17913', ['rash']]
['17924', ['back pain']]
['17944', ['vomiting']]
['18114', ['non-infectious pulmonary toxicity']]
['18287', ['cough']]
['18297', ['dyspnea']]
['18306,18414', ['interstitial infiltration of the chest']]
['18306,18339,18414', ['interstitial inflammation of the chest']]
['18602', ['pulmonary toxicity']]
['18689', ['pulmonary toxicity']]
['19137', ['peripheral motor neuropathy']]
['19171', ['abdominal pain']]
['19192', ['pulmonary embolism']]
['19217', ['pneumonitis']]
['19235', ['pneumothorax']]
['19254', ['pyelonephritis']]
['19279', ['pyrexia']]
['19375', ['septic shock']]
['19394', ['supraventricular arrhythmia']]
['19428', ['pain in extremity']]
['19456', ['urinary tract infection']]
['19545', ['pml']]
['19550', ['stevens-johnson syndrome']]
['19580', ['tumor lysis syndrome']]
['19768', ['pneumonia']]
['19784', ['pyrexia']]
['19798', ['vomiting']]
['19813', ['nausea']]
['19826', ['hepatotoxicity']]
['19850', ['peripheral sensory neuropathy']]
['20011', ['neutropenia']]
['20033', ['peripheral sensory neuropathy']]
['20237', ['neutropenia']]
['20256', ['peripheral sensory neuropathy']]
['20293', ['upper respiratory tract infection']]
['20337', ['peripheral motor neuropathy']]
['20660', ['peripheral sensory neuropathy']]
['20699', ['peripheral motor neuropathy']]
['20919', ['peripheral sensory neuropathy']]
['20956', ['peripheral motor neuropathy']]
['20990', ['acute respiratory distress syndrome']]
['21032', ['paraesthesia']]
['21054', ['vomiting']]
['21448', ['febrile neutropenia']]
['21561', ['hepatotoxicity']]
['21656', ['pml']]
['21723', ['serious']]
['21731', ['infections']]
['21746', ['opportunistic infections']]
['21875', ['hyperglycemia']]
['21926', ['pancreatitis']]
['21950', ['fatal']]
['22116', ['noninfectious pulmonary toxicity']]
['22159', ['pneumonitis']]
