['181', ['non-infectious pneumonitis']]
['252', ['infections']]
['307', ['angioedema']]
['401', ['oral ulceration']]
['461', ['renal failure']]
['519', ['impaired wound healing']]
['926', ['stomatitis']]
['938', ['infections']]
['950', ['rash']]
['956', ['fatigue']]
['965', ['diarrhea']]
['975', ['edema']]
['982', ['abdominal pain']]
['998', ['nausea']]
['1006', ['fever']]
['1013', ['asthenia']]
['1023', ['cough']]
['1030', ['headache']]
['1043', ['decreased appetite']]
['1175', ['stomatitis']]
['1269', ['stomatitis']]
['1284', ['respiratory tract infection']]
['2096', ['stomatitis']]
['2108', ['infections']]
['2120', ['rash']]
['2126', ['fatigue']]
['2135', ['diarrhea']]
['2149', ['decreased appetite']]
['2185', ['grade 3/']]
['2185,2193', ['grade 4']]
['2236', ['stomatitis']]
['2248', ['infections']]
['2260', ['hyperglycemia']]
['2275', ['fatigue']]
['2284', ['dyspnea']]
['2293', ['pneumonitis']]
['2310', ['diarrhea']]
['2385', ['hypercholesterolemia']]
['2407', ['hyperglycemia']]
['2422', ['increased aspartate transaminase']]
['2422,2456', ['increased ast']]
['2462', ['anemia']]
['2470', ['leukopenia']]
['2482', ['thrombocytopenia']]
['2500', ['lymphopenia']]
['2513', ['increased alanine transaminase']]
['2513,2545', ['increased alt']]
['2555', ['hypertriglyceridemia']]
['2651', ['lymphopenia']]
['2664', ['hyperglycemia']]
['2679', ['anemia']]
['2687', ['decreased potassium']]
['2708', ['increased ast']]
['2723', ['increased alt']]
['2742', ['thrombocytopenia']]
['2764', ['fatal']]
['3721', ['stomatitis']]
['3733', ['mouth ulceration']]
['3751', ['aphthous stomatitis']]
['3772', ['glossodynia']]
['3785', ['gingival pain']]
['3800', ['glossitis']]
['3814', ['lip ulceration']]
['3945', ['nasopharyngitis']]
['3968', ['urinary tract infection']]
['3999', ['upper respiratory tract infection']]
['4039', ['pneumonia']]
['4055', ['bronchitis']]
['4072', ['cystitis']]
['4087', ['sinusitis']]
['4122', ['candidiasis']]
['4145', ['sepsis']]
['4163', ['hepatitis c']]
['4195', ['pneumonitis']]
['4208', ['interstitial lung disease']]
['4235', ['lung infiltration']]
['4258', ['pulmonary fibrosis']]
['4855', ['stomatitis']]
['4983', ['diarrhea']]
['5105', ['nausea']]
['5227', ['vomiting']]
['5349', ['constipation']]
['5474', ['dry mouth']]
['5657', ['fatigue']]
['5779', ['edema peripheral']]
['5908', ['pyrexia']]
['6030', ['asthenia']]
['6188', ['infections']]
['6339', ['weight decreased']]
['6511', ['decreased appetite']]
['6642', ['hyperglycemia']]
['6824', ['arthralgia']]
['6947', ['back pain']]
['7069', ['pain in extremity']]
['7232', ['dysgeusia']]
['7354', ['headache']]
['7506', ['insomnia']]
['7684', ['cough']]
['7806', ['dyspnea']]
['7928', ['epistaxis']]
['8050', ['pneumonitis']]
['8226', ['rash']]
['8348', ['pruritus']]
['8470', ['alopecia']]
['8619', ['hot flush']]
['9109', ['anemia']]
['9117', ['leukopenia']]
['9129', ['lymphopenia']]
['9142', ['neutropenia']]
['9159', ['thrombocytopenia']]
['9193', ['pancytopenia']]
['9646', ['hemoglobin decreased']]
['9773', ['wbc decreased']]
['9895', ['platelets decreased']]
['10021', ['lymphocytes decreased']]
['10149', ['neutrophils decreased']]
['10304', ['glucose increased']]
['10428', ['cholesterol increased']]
['10556,10585', ['aspartate transaminase increased']]
['10580,10585', ['ast increased']]
['10701,10728', ['alanine transaminase increased']]
['10723,10728', ['alt increased']]
['10844', ['triglycerides increased']]
['10974', ['albumin decreased']]
['11098', ['potassium decreased']]
['11224', ['creatinine increased']]
['11806', ['stomatitis']]
['11818', ['rash']]
['11824', ['diarrhea']]
['11834', ['fatigue']]
['11843', ['edema']]
['11850', ['abdominal pain']]
['11866', ['nausea']]
['11874', ['fever']]
['11885', ['headache']]
['11911', ['grade 3']]
['11911,11919', ['grade 4']]
['11911', ['grade 3-4']]
