['413', ['seizures']]
['423', ['anaphylaxis']]
['440', ['urinary tract infections']]
['591', ['urinary tract infection']]
['616', ['insomnia']]
['626', ['dizziness']]
['637', ['headache']]
['647', ['nausea']]
['655', ['asthenia']]
['665', ['back pain']]
['676', ['balance disorder']]
['694', ['multiple sclerosis relapse']]
['722', ['paresthesia']]
['735', ['nasopharyngitis']]
['752', ['constipation']]
['766', ['dyspepsia']]
['781', ['pharyngolaryngeal pain']]
['1459', ['headache']]
['1495', ['balance disorder']]
['1539', ['dizziness']]
['1580', ['confusional state']]
['2098', ['urinary tract infection']]
['2207', ['insomnia']]
['2316', ['dizziness']]
['2425', ['headache']]
['2534', ['nausea']]
['2643', ['asthenia']]
['2752', ['back pain']]
['2861', ['balance disorder']]
['2970', ['multiple sclerosis relapse']]
['3079', ['paresthesia']]
['3188', ['nasopharyngitis']]
['3297', ['constipation']]
['3406', ['dyspepsia']]
['3515', ['pharyngolaryngeal pain']]
['4088', ['seizures']]
['59', ['can']]
['69', ['seizures']]
['83', ['risk']]
['91', ['seizures']]
['358', ['can']]
['368', ['anaphylaxis']]
['481', ['can']]
['491', ['seizures']]
['524', ['seizures']]
['730', ['seizures']]
['930', ['seizures']]
['975', ['seizures']]
['2220', ['may']]
['2264', ['seizures']]
['2732', ['can']]
['2742', ['anaphylaxis']]
['2758', ['severe']]
['2765', ['allergic reactions']]
['2818', ['respiratory compromise']]
['2842', ['urticaria']]
['2857', ['angioedema of the throat']]
['2857,2889', ['angioedema of the tongue']]
['3126', ['urinary tract infections']]
['3152', ['utis']]
