['84', ['headache']]
['135', ['musculoskeletal pain']]
['157', ['blood pressure increased']]
['183', ['fatigue']]
['192', ['nausea']]
['204', ['injection site reaction']]
['1150', ['blood pressure increased']]
['1179', ['hypertension']]
['1220', ['injection site haemorrhage']]
['1248', ['injection site irritation']]
['1279', ['injection site pain']]
['1327', ['feeling cold']]
['1344', ['chills']]
['1468', ['headache']]
['1574', ['musculoskeletal pain']]
['1680', ['blood pressure increased']]
['1786', ['nausea']]
['1892', ['fatigue']]
['1998', ['injection site reaction']]
['2104', ['anxiety']]
['2210', ['back pain']]
['2316', ['claustrophobia']]
['2422', ['dizziness']]
['2528', ['feeling cold']]
['2634', ['insomnia']]
['2740', ['neck pain']]
['2920', ['infusion site rash']]
['2940', ['dysgeusia']]
['2951', ['pruritis']]
['2961', ['urticaria']]
['2976', ['flushing']]
['144', ['radiation risk']]
['232', ['long-term cumulative radiation exposure']]
['1331', ['long-term cumulative radiation exposure']]
['1372', ['long-term cumulative radiation exposure']]
['1444', ['risk']]
['1452', ['cancer']]
