['151', ['suicidal behavior']]
['151,173', ['suicidal ideation']]
['229', ['serious']]
['237', ['dermatologic reactions']]
['307', ['drug reaction with eosinophilia and systemic symptoms']]
['362', ['dress']]
['369', ['multiorgan hypersensitivity']]
['444', ['anaphylactic reactions']]
['471', ['angioedema']]
['529', ['hyponatremia']]
['589', ['neurological adverse reactions']]
['667', ['drug induced liver injury']]
['740', ['abnormal thyroid function tests']]
['929', ['dizziness']]
['940', ['somnolence']]
['952', ['nausea']]
['960', ['headache']]
['970', ['diplopia']]
['980', ['vomiting']]
['990', ['fatigue']]
['999', ['vertigo']]
['1008', ['ataxia']]
['1016', ['blurred vision']]
['1036', ['tremor']]
['2739', ['hyponatremia']]
['3010', ['dizziness']]
['3021', ['nausea']]
['3029', ['somnolence']]
['3045', ['fatigue']]
['3647', ['dizziness']]
['3658', ['nausea']]
['3666', ['vomiting']]
['3676', ['ataxia']]
['3684', ['diplopia']]
['3694', ['somnolence']]
['3706', ['headache']]
['3716', ['blurred vision']]
['3732', ['vertigo']]
['3741', ['asthenia']]
['3751', ['fatigue']]
['3760', ['rash']]
['3766', ['dysarthria']]
['3782', ['tremor']]
['3942', ['dizziness']]
['3953', ['somnolence']]
['3965', ['nausea']]
['3973', ['headache']]
['3983', ['diplopia']]
['3993', ['vomiting']]
['4003', ['fatigue']]
['4012', ['vertigo']]
['4021', ['ataxia']]
['4029', ['blurred vision']]
['4049', ['tremor']]
['4994', ['vertigo']]
['5089', ['diplopia']]
['5102', ['blurred vision']]
['5121', ['visual impairment']]
['5321', ['nausea']]
['5332', ['vomiting']]
['5345', ['diarrhea']]
['5358', ['constipation']]
['5375', ['abdominal pain']]
['5394', ['gastritis']]
['5598', ['fatigue']]
['5610', ['asthenia']]
['5623', ['gait disturbance']]
['5644', ['peripheral edema']]
['5761', ['urinary tract infections']]
['5974', ['fall']]
['6192', ['hyponatremia']]
['6325', ['dizziness']]
['6339', ['somnolence']]
['6354', ['headache']]
['6367', ['ataxia']]
['6378', ['balance disorder']]
['6399', ['tremor']]
['6410', ['dysarthria']]
['6425', ['memory impairment']]
['6447', ['nystagmus']]
['6551', ['depression']]
['6566', ['insomnia']]
['6764', ['cough']]
['6911', ['rash']]
['7007', ['hypertension']]
['52', ['suicidal behavior']]
['52,74', ['suicidal ideation']]
['142', ['serious']]
['150', ['dermatologic reactions']]
['174', ['drug reaction with eosinophilia and systemic symptoms']]
['229', ['dress']]
['237', ['anaphylactic reactions']]
