['150', ['risk']]
['158', ['asthma']]
['173', ['death']]
['425', ['cough']]
['432', ['oropharyngeal pain']]
['452', ['nasopharyngitis']]
['469', ['headache']]
['482', ['nausea']]
['705,4815', ['chronic obstructive pulmonary disease exacerbations']]
['705,4830', ['chronic obstructive pulmonary disease deteriorations of disease']]
['2137', ['copd']]
['2146', ['dyspnea']]
['2206', ['copd exacerbation']]
['2225', ['pneumonia']]
['2236', ['angina pectoris']]
['2257', ['atrial fibrillation']]
['3091', ['cough']]
['3145', ['oropharyngeal pain']]
['3236', ['nasopharyngitis']]
['3321', ['headache']]
['3406', ['nausea']]
['3511', ['cardiovascular adverse reactions']]
['4016', ['muscle spasm']]
['4030', ['musculoskeletal pain']]
['4112', ['edema peripheral']]
['4169', ['diabetes mellitus']]
['4188', ['hyperglycemia']]
['4236', ['sinusitis']]
['4247', ['upper respiratory tract infection']]
['4475', ['cough']]
['4629', ['cough']]
['4731', ['cough']]
['4781', ['not']]
['4801', ['bronchospasm']]
['4859', ['loss of efficacy']]
['5294', ['deaths']]
['5356', ['no']]
['5359', ['deaths']]
['5489', ['asthma exacerbation']]
['5816', ['no']]
['5819', ['deaths']]
['5880', ['asthma exacerbation']]
['6349', ['hypersensitivity reactions']]
['6377', ['paradoxical bronchospasm']]
['6403', ['tachycardia']]
['6415', ['heart rate increase']]
['6435', ['palpitations']]
['6449', ['pruritus']]
['6458', ['rash']]
['6467', ['dizziness']]
['45', ['death']]
['84', ['death']]
['97', ['l ong-acting beta 2 -adrenergic agonist s']]
['160', ['laba']]
['206', ['death']]
['303', ['long-acting beta 2 -adrenergic agonist']]
['439', ['deaths']]
['966', ['death']]
['1049', ['long-acting beta2-adrenergic agonists']]
['1088', ['laba']]
['1130', ['death']]
['1189', ['long-acting beta2-adrenergic agonist']]
['1276', ['deaths']]
['1357', ['risk']]
['1380', ['death']]
['370', ['laba']]
['400', ['significant']]
['412', ['cardiovascular effects']]
['446', ['fatal']]
['477', ['hypersensitivity reactions']]
['504', ['may']]
['555', ['life-threatening']]
['572', ['paradoxical bronchospasm']]
['597', ['can']]
['945', ['long-acting beta 2 -adrenergic agonists']]
['1027', ['death']]
['1255', ['long-acting beta 2 -adrenergic agonist']]
['1400', ['deaths']]
['1578', ['risk']]
['1601', ['death']]
['2109', ['death']]
['4790', ['hypersensitivity reactions']]
['4817', ['may']]
['5219', ['may']]
['5231', ['paradoxical bronchospasm']]
['5268', ['life-threatening']]
['5498', ['can']]
['5523', ['significant']]
['5535', ['cardiovascular effect']]
['5589', ['increases in pulse rate']]
['5589,5614,5636', ['increases in systolic blood pressure']]
['5589,5626', ['increases in diastolic blood pressure']]
['5747', ['beta-agonists']]
['5791', ['ecg changes']]
['5812', ['flattening of the t wave']]
['5838', ['prolongation of the qtc interval']]
['5876', ['st segment depression']]
['6446', ['beta2-agonist']]
['6526', ['aggravate pre-existing diabetes mellitus']]
['6526,6571', ['aggravate ketoacidosis']]
['6636', ['beta2-agonist']]
['6674', ['significant']]
['6686', ['hypokalemia']]
['6792', ['adverse cardiovascular effects']]
['6866', ['decrease in serum potassium']]
['6975', ['beta2-adrenergic agonists']]
['7013', ['increases in plasma glucose']]
['7065', ['decreases in serum potassium']]
['7097', ['changes in blood glucose']]
