['155', ['hematologic toxicity']]
['227', ['infection']]
['286', ['hepatotoxicity']]
['350', ['tumor lysis syndrome']]
['420', ['gastrointestinal toxicity']]
['621', ['nausea']]
['629', ['fatigue']]
['638', ['pyrexia']]
['647', ['anemia']]
['659', ['vomiting']]
['773', ['nausea']]
['781', ['fatigue']]
['790', ['pyrexia']]
['799', ['anemia']]
['811', ['vomiting']]
['2294', ['nausea']]
['2403', ['fatigue']]
['2512', ['pyrexia']]
['2621', ['anemia']]
['2730', ['vomiting']]
['2839', ['constipation']]
['2948', ['diarrhea']]
['3057', ['dyspnea']]
['3166', ['rash']]
['3275', ['peripheral edema']]
['3384', ['cough']]
['3493', ['thrombocytopenia']]
['3602', ['pruritus']]
['3711', ['chills']]
['3820', ['increased blood lactate dehydrogenase']]
['3929', ['decreased appetite']]
['4038', ['headache']]
['4147', ['infusion site pain']]
['4256', ['hypokalemia']]
['4365', ['prolonged qt']]
['4474', ['abdominal pain']]
['4583', ['hypotension']]
['4692', ['phlebitis']]
['4801', ['dizziness']]
['5465', ['pneumonia']]
['5476', ['pyrexia']]
['5485', ['infection']]
['5496', ['anemia']]
['5504', ['increased creatinine']]
['5526', ['thrombocytopenia']]
['5548', ['multi-organ failure']]
['5591', ['death']]
['5613', ['hepatic failure']]
['5730', ['grade 4']]
['5738', ['tumor lysis syndrome']]
['5799', ['died']]
['5811', ['multi-organ failure']]
['5852', ['death']]
['5863', ['ventricular fibrillation']]
['5967', ['did not identify']]
['5984', ['qtc prolongation']]
['6251', ['anemia']]
['6259', ['febrile neutropenia']]
['6280', ['fatigue']]
['6293', ['multi-organ failure']]
['54', ['thrombocytopenia']]
['72', ['leukopenia']]
['84', ['neutropenia']]
['100', ['lymphopenia']]
['118', ['anemia']]
['220', ['infection']]
['231', ['serious']]
['243', ['fatal']]
['249', ['infections']]
['249', ['infections']]
['267', ['pneumonia']]
['281', ['sepsis']]
['309', ['hepatotoxicity']]
['334', ['may']]
['344', ['hepatic toxicity']]
['365', ['liver function test abnormalities']]
['506', ['tumor lysis syndrome']]
['651', ['embryo-fetal toxicity']]
['683', ['may']]
['693', ['fetal harm']]
['899', ['can']]
['909', ['thrombocytopenia']]
['927', ['leukopenia']]
['939', ['neutropenia']]
['955', ['lymphopenia']]
['976', ['anemia']]
['1170', ['serious']]
['1192', ['fatal']]
['1198', ['infections']]
['1198', ['infections']]
['1220', ['pneumonia']]
['1234', ['sepsis']]
['1529', ['can']]
['1539', ['fatal']]
['1545', ['hepatotoxicity']]
['1564', ['liver function test abnormalities']]
['1933', ['tumor lysis syndrome']]
['2298', ['nausea']]
['2306', ['vomiting']]
['2319', ['diarrhea']]
['2500', ['can']]
['2510', ['fetal harm']]
['2569', ['may']]
['2579', ['teratogenicity']]
['2601', ['embryo-fetal lethality']]
['2638', ['genotoxic']]
