['423', ['mortality']]
['485', ['serious']]
['493', ['infections']]
['556', ['malignancy']]
['619', ['hypersensitivity reactions']]
['657', ['anaphylaxis']]
['721', ['infusion reactions']]
['792', ['depression']]
['922', ['nausea']]
['930', ['diarrhea']]
['940', ['pyrexia']]
['949', ['nasopharyngitis']]
['966', ['bronchitis']]
['978', ['insomnia']]
['988', ['pain in extremity']]
['1007', ['depression']]
['1019', ['migraine']]
['1033', ['pharyngitis']]
['2382', ['serious']]
['2390', ['infections']]
['2621', ['nausea']]
['2629', ['diarrhea']]
['2639', ['pyrexia']]
['2648', ['nasopharyngitis']]
['2665', ['bronchitis']]
['2677', ['insomnia']]
['2687', ['pain in extremity']]
['2706', ['depression']]
['2718', ['migraine']]
['2732', ['pharyngitis']]
['3081', ['infusion reactions']]
['3134', ['lupus nephritis']]
['3188', ['infections']]
['3863', ['nausea']]
['3973', ['diarrhea']]
['4083', ['pyrexia']]
['4193', ['nasopharyngitis']]
['4303', ['bronchitis']]
['4413', ['insomnia']]
['4523', ['pain in extremity']]
['4633', ['depression']]
['4743', ['migraine']]
['4853', ['pharyngitis']]
['4963', ['cystitis']]
['5073', ['leukopenia']]
['5183', ['gastroenteritis viral']]
['5809', ['mild']]
['5814', ['infusion reactions']]
['5836', ['nausea']]
['5844', ['erythematous rash']]
['5863', ['pruritus']]
['5873', ['eyelid edema']]
['5887', ['headache']]
['5901', ['dyspnea']]
['6905', ['fatal']]
['6911', ['anaphylaxis']]
['54', ['mortality']]
['81', ['deaths']]
['195', ['serious']]
['203', ['infections']]
['215', ['serious']]
['237', ['fatal']]
['243', ['infections']]
['243', ['infections']]
['524', ['progressive multifocal leukoencephalopathy']]
['568', ['pml']]
['829', ['hypersensitivity reactions']]
['867', ['anaphylaxis']]
['880', ['serious']]
['892', ['fatal']]
['1137', ['depression']]
['1149', ['depression']]
['1164', ['suicidality']]
['1526', ['deaths']]
['1685', ['deaths']]
['1821', ['deaths']]
['1953', ['death']]
['1993', ['infection']]
['2004', ['cardiovascular disease']]
['2032', ['suicide']]
['2076', ['serious']]
['2098', ['fatal']]
['2104', ['infections']]
['2104', ['infections']]
['2629', ['infections']]
['2752', ['infections']]
['2805', ['upper respiratory tract infection']]
['2840', ['urinary tract infection']]
['2865', ['nasopharyngitis']]
['2882', ['sinusitis']]
['2893', ['bronchitis']]
['2909', ['influenza']]
['2920', ['serious']]
['2928', ['infections']]
['3054', ['serious']]
['3062', ['infections']]
['3082', ['pneumonia']]
['3093', ['urinary tract infection']]
['3118', ['cellulitis']]
['3134', ['bronchitis']]
['3146', ['infections']]
['3285', ['infections']]
['3309', ['death']]
['3496', ['jc virus']]
['3516', ['pml']]
['3533', ['neurological deficits']]
['3566', ['fatal']]
['4168', ['malignancies']]
['4184', ['not known']]
['4230', ['malignancies']]
['4254', ['non-melanoma skin cancers']]
['4409', ['malignancies']]
['4622', ['risk']]
['4650', ['malignancies']]
['4730', ['acute hypersensitivity reactions']]
['4774', ['anaphylaxis']]
['4790', ['death']]
['4949', ['hypersensitivity reactions']]
['4986', ['rash']]
['4992', ['nausea']]
['5000', ['fatigue']]
['5009', ['myalgia']]
['5018', ['headache']]
['5032', ['facial edema']]
['5137', ['hypersensitivity']]
['5137', ['hypersensitivity']]
['5165', ['serious']]
['5432', ['hypersensitivity reactions']]
['5611', ['anaphylaxis']]
['5757', ['hypotension']]
['5770', ['angioedema']]
['5782', ['urticaria']]
['5801', ['rash']]
['5807', ['pruritus']]
['5821', ['dyspnea']]
['5911', ['hypersensitivity reactions']]
['5942', ['infusion reactions']]
['6846', ['adverse events associated with the infusion']]
['7046', ['serious']]
['7054', ['infusion reactions']]
['7074', ['excluding']]
['7084', ['hypersensitivity reactions']]
['7217', ['bradycardia']]
['7230', ['myalgia']]
['7239', ['headache']]
['7249', ['rash']]
['7255', ['urticaria']]
['7270', ['hypotension']]
['7299', ['infusion reactions']]
['7361', ['headache']]
['7371', ['nausea']]
['7383', ['skin reactions']]
['7480', ['hypersensitivity reactions']]
['7511', ['infusion reactions']]
['8262', ['psychiatric events']]
['8377', ['depression']]
['8437', ['insomnia']]
['8484', ['anxiety']]
['8526', ['serious']]
['8534', ['psychiatric events']]
['8696', ['serious']]
['8704', ['depression']]
['8829', ['suicides']]
['8929', ['serious']]
['8937', ['depression']]
['8951', ['suicidal behavior']]
